TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
1610612737,ATL,Atlanta Hawks,72,41,31,241.7,9.8,25.1,0.39,28.4,8.8,22.9,0.384,0.565
1610612738,BOS,Boston Celtics,72,36,36,241.4,9.4,23.5,0.401,27.2,8.3,21.3,0.391,0.579
1610612751,BKN,Brooklyn Nets,72,48,24,241.7,10.9,26.0,0.42,31.9,10.0,24.1,0.416,0.613
1610612766,CHA,Charlotte Hornets,72,33,39,241.0,10.7,27.4,0.39,31.4,10.0,25.6,0.391,0.573
1610612741,CHI,Chicago Bulls,72,31,41,241.4,10.9,28.9,0.378,31.5,9.6,25.4,0.378,0.545
1610612739,CLE,Cleveland Cavaliers,72,22,50,242.1,8.2,23.6,0.349,23.9,7.4,21.7,0.341,0.505
1610612742,DAL,Dallas Mavericks,72,42,30,240.3,10.4,27.8,0.375,30.5,9.6,26.0,0.369,0.547
1610612743,DEN,Denver Nuggets,72,47,25,242.8,11.2,27.9,0.401,32.2,9.8,24.9,0.393,0.576
1610612765,DET,Detroit Pistons,72,20,52,242.1,9.6,26.7,0.361,28.2,9.0,24.8,0.361,0.529
1610612744,GSW,Golden State Warriors,72,39,33,240.3,11.0,28.9,0.381,32.2,10.3,27.0,0.38,0.558
1610612745,HOU,Houston Rockets,72,17,55,240.3,10.3,29.6,0.349,30.5,9.9,28.5,0.347,0.516
1610612754,IND,Indiana Pacers,72,34,38,242.4,9.7,26.1,0.372,28.5,9.1,24.8,0.368,0.547
1610612746,LAC,LA Clippers,72,47,25,240.0,12.2,27.8,0.438,35.0,10.7,25.0,0.428,0.63
1610612747,LAL,Los Angeles Lakers,72,42,30,242.4,9.8,26.1,0.374,28.4,8.8,23.9,0.369,0.543
1610612763,MEM,Memphis Grizzlies,72,38,34,241.7,9.8,26.0,0.377,28.2,8.5,23.5,0.363,0.541
1610612748,MIA,Miami Heat,72,40,32,241.4,11.0,29.2,0.377,32.0,10.0,26.7,0.374,0.549
1610612749,MIL,Milwaukee Bucks,72,46,26,240.7,10.8,26.8,0.402,31.6,10.0,25.2,0.397,0.588
1610612750,MIN,Minnesota Timberwolves,72,23,49,241.7,10.0,27.8,0.361,29.6,9.6,26.7,0.36,0.534
1610612740,NOP,New Orleans Pelicans,72,31,41,242.1,9.2,24.8,0.371,26.7,8.4,22.9,0.365,0.54
1610612752,NYK,New York Knicks,72,41,31,242.1,9.7,24.1,0.403,28.3,8.9,22.2,0.402,0.588
1610612760,OKC,Oklahoma City Thunder,72,22,50,241.0,9.3,26.8,0.349,27.3,8.6,25.2,0.342,0.51
1610612753,ORL,Orlando Magic,72,21,51,240.7,10.2,27.3,0.372,28.5,8.2,22.8,0.357,0.522
1610612755,PHI,Philadelphia 76ers,72,49,23,242.1,9.8,25.2,0.391,28.7,9.0,23.4,0.386,0.57
1610612756,PHX,Phoenix Suns,72,51,21,242.8,11.8,29.5,0.398,33.5,10.0,25.9,0.387,0.568
1610612757,POR,Portland Trail Blazers,72,42,30,240.3,9.0,22.5,0.402,26.7,8.6,21.3,0.404,0.593
1610612758,SAC,Sacramento Kings,72,31,41,240.3,10.1,25.0,0.406,28.3,8.0,21.1,0.379,0.566
1610612759,SAS,San Antonio Spurs,72,33,39,242.8,9.7,25.8,0.377,27.6,8.1,22.1,0.367,0.534
1610612761,TOR,Toronto Raptors,72,27,45,240.3,11.1,29.1,0.381,32.5,10.4,27.4,0.378,0.559
1610612762,UTA,Utah Jazz,72,52,20,241.0,11.1,27.2,0.408,32.8,10.6,26.0,0.408,0.604
1610612764,WAS,Washington Wizards,72,34,38,241.7,9.2,24.8,0.371,26.7,8.3,22.6,0.367,0.538
1610612737,ATL,Atlanta Hawks,67,20,47,243.0,8.7,25.1,0.345,25.5,8.1,23.6,0.344,0.507
1610612738,BOS,Boston Celtics,72,48,24,242.1,8.2,21.7,0.378,23.5,7.1,19.3,0.37,0.543
1610612751,BKN,Brooklyn Nets,72,35,37,242.8,9.3,25.4,0.368,27.7,9.0,24.6,0.366,0.546
1610612766,CHA,Charlotte Hornets,65,23,42,242.3,8.4,22.8,0.366,24.8,8.1,21.8,0.37,0.544
1610612741,CHI,Chicago Bulls,65,22,43,241.2,9.4,26.4,0.357,27.7,8.9,25.0,0.356,0.526
1610612739,CLE,Cleveland Cavaliers,65,19,46,241.9,8.9,23.6,0.376,25.8,8.0,21.6,0.372,0.547
1610612742,DAL,Dallas Mavericks,75,43,32,242.3,11.3,29.3,0.384,32.9,10.4,27.3,0.381,0.561
1610612743,DEN,Denver Nuggets,73,46,27,243.1,9.7,25.1,0.388,27.8,8.3,22.0,0.377,0.554
1610612765,DET,Detroit Pistons,66,20,46,241.9,9.9,25.9,0.383,29.2,9.3,24.4,0.383,0.564
1610612744,GSW,Golden State Warriors,65,15,50,241.9,8.9,25.5,0.349,25.4,7.6,22.1,0.344,0.498
1610612745,HOU,Houston Rockets,72,44,28,241.4,9.8,27.8,0.351,29.0,9.5,27.3,0.347,0.522
1610612754,IND,Indiana Pacers,73,45,28,241.4,9.8,25.1,0.39,27.3,7.7,20.6,0.375,0.544
1610612746,LAC,LA Clippers,72,49,23,241.4,9.8,25.4,0.387,28.7,9.1,23.7,0.384,0.566
1610612747,LAL,Los Angeles Lakers,71,52,19,240.7,9.3,25.1,0.368,26.7,8.2,22.2,0.369,0.531
1610612763,MEM,Memphis Grizzlies,73,34,39,240.7,9.8,25.9,0.376,28.1,8.5,23.3,0.366,0.541
1610612748,MIA,Miami Heat,73,44,29,243.1,11.1,27.9,0.398,32.2,10.0,25.5,0.392,0.577
1610612749,MIL,Milwaukee Bucks,73,56,17,241.0,10.4,27.8,0.374,30.3,9.5,26.0,0.365,0.544
1610612750,MIN,Minnesota Timberwolves,64,19,45,243.1,9.9,29.2,0.339,29.3,9.5,28.1,0.338,0.501
1610612740,NOP,New Orleans Pelicans,72,30,42,242.1,10.8,28.0,0.386,31.7,10.0,26.0,0.386,0.565
1610612752,NYK,New York Knicks,66,21,45,241.9,9.0,24.6,0.364,25.3,7.4,21.1,0.35,0.514
1610612760,OKC,Oklahoma City Thunder,72,44,28,242.1,8.7,23.1,0.379,25.0,7.6,20.6,0.366,0.543
1610612753,ORL,Orlando Magic,73,33,40,240.7,10.2,28.2,0.363,28.8,8.3,23.6,0.352,0.511
1610612755,PHI,Philadelphia 76ers,73,43,30,241.0,10.9,28.9,0.379,31.6,9.7,25.8,0.378,0.547
1610612756,PHX,Phoenix Suns,73,34,39,241.0,10.9,29.1,0.377,31.0,9.1,24.9,0.366,0.533
1610612757,POR,Portland Trail Blazers,74,35,39,241.0,8.5,21.5,0.396,24.4,7.3,18.8,0.39,0.567
1610612758,SAC,Sacramento Kings,72,31,41,242.4,10.3,26.4,0.389,29.5,9.0,23.7,0.38,0.56
1610612759,SAS,San Antonio Spurs,71,32,39,242.5,10.6,26.4,0.402,29.3,8.1,21.3,0.381,0.557
1610612761,TOR,Toronto Raptors,72,53,19,241.4,10.9,28.1,0.387,31.6,9.8,25.4,0.388,0.563
1610612762,UTA,Utah Jazz,72,44,28,241.0,9.0,22.3,0.406,26.9,8.8,21.7,0.407,0.605
1610612764,WAS,Washington Wizards,72,25,47,241.0,10.4,26.6,0.391,29.9,9.2,23.5,0.39,0.564
1610612737,ATL,Atlanta Hawks,82,29,53,242.1,10.1,27.8,0.362,29.7,9.6,26.0,0.367,0.534
1610612738,BOS,Boston Celtics,82,49,33,241.2,11.7,29.8,0.395,33.1,9.7,25.5,0.379,0.557
1610612751,BKN,Brooklyn Nets,82,42,40,243.7,9.1,25.1,0.363,26.9,8.7,24.0,0.363,0.537
1610612766,CHA,Charlotte Hornets,82,39,43,241.8,9.1,24.5,0.372,26.4,8.2,22.3,0.367,0.538
1610612741,CHI,Chicago Bulls,82,22,60,242.7,7.9,21.8,0.363,22.6,6.8,19.0,0.356,0.518
1610612739,CLE,Cleveland Cavaliers,82,19,63,240.9,7.7,21.1,0.367,22.4,6.9,18.9,0.364,0.53
1610612742,DAL,Dallas Mavericks,82,33,49,241.2,9.5,27.2,0.349,27.7,8.8,25.0,0.35,0.51
1610612743,DEN,Denver Nuggets,82,54,28,240.6,10.0,26.4,0.379,28.7,8.7,23.9,0.366,0.544
1610612765,DET,Detroit Pistons,82,41,41,242.1,9.3,25.9,0.359,27.2,8.6,24.2,0.357,0.525
1610612744,GSW,Golden State Warriors,82,57,25,241.5,12.2,29.9,0.406,33.7,9.4,24.2,0.389,0.564
1610612745,HOU,Houston Rockets,82,53,29,241.8,9.2,24.5,0.374,27.1,8.8,23.7,0.371,0.554
1610612754,IND,Indiana Pacers,82,48,34,240.3,10.1,24.9,0.406,27.5,7.3,18.5,0.396,0.553
1610612746,LAC,LA Clippers,82,48,34,241.8,8.4,21.1,0.396,24.2,7.5,18.8,0.397,0.573
1610612747,LAL,Los Angeles Lakers,82,37,45,241.2,8.5,24.9,0.341,24.4,7.4,22.1,0.335,0.49
1610612763,MEM,Memphis Grizzlies,82,33,49,242.4,9.2,24.8,0.371,25.8,7.4,20.7,0.356,0.519
1610612748,MIA,Miami Heat,82,39,43,240.6,9.9,26.8,0.369,28.6,8.8,23.9,0.368,0.533
1610612749,MIL,Milwaukee Bucks,82,60,22,241.2,10.4,29.0,0.359,30.6,9.8,27.5,0.356,0.527
1610612750,MIN,Minnesota Timberwolves,82,36,46,241.8,9.8,26.1,0.375,27.8,8.2,22.4,0.365,0.531
1610612740,NOP,New Orleans Pelicans,82,33,49,240.9,9.0,24.7,0.364,25.8,7.8,21.9,0.358,0.522
1610612752,NYK,New York Knicks,82,17,65,241.2,8.1,23.4,0.345,23.3,7.1,20.9,0.341,0.497
1610612760,OKC,Oklahoma City Thunder,82,49,33,242.1,9.4,26.0,0.363,27.2,8.3,23.2,0.359,0.523
1610612753,ORL,Orlando Magic,82,42,40,241.2,11.1,29.2,0.38,30.6,8.4,23.0,0.363,0.523
1610612755,PHI,Philadelphia 76ers,82,51,31,241.5,9.9,26.3,0.375,28.4,8.7,23.3,0.372,0.54
1610612756,PHX,Phoenix Suns,82,19,63,242.4,8.4,23.8,0.354,23.7,6.9,20.1,0.341,0.498
1610612757,POR,Portland Trail Blazers,82,53,29,242.1,7.7,21.7,0.357,22.4,6.9,19.0,0.362,0.515
1610612758,SAC,Sacramento Kings,82,39,43,240.6,9.4,23.2,0.404,26.7,8.0,19.9,0.4,0.575
1610612759,SAS,San Antonio Spurs,82,48,34,241.5,10.3,24.5,0.42,28.1,7.6,18.6,0.408,0.575
1610612761,TOR,Toronto Raptors,82,58,24,242.4,12.1,29.9,0.404,33.9,9.7,25.2,0.386,0.568
1610612762,UTA,Utah Jazz,82,50,32,240.9,9.7,25.9,0.374,28.0,8.7,23.6,0.367,0.541
1610612764,WAS,Washington Wizards,82,32,50,243.0,9.8,27.3,0.359,28.3,8.7,24.5,0.354,0.518
1610612737,ATL,Atlanta Hawks,82,24,58,240.3,10.5,27.1,0.388,29.6,8.6,22.6,0.379,0.547
1610612738,BOS,Boston Celtics,82,55,27,241.5,10.1,25.5,0.398,28.4,8.1,21.1,0.381,0.556
1610612751,BKN,Brooklyn Nets,82,28,54,242.1,10.5,27.6,0.379,30.7,9.7,25.7,0.379,0.556
1610612766,CHA,Charlotte Hornets,82,36,46,241.2,8.8,22.9,0.385,24.6,7.0,18.2,0.384,0.538
1610612741,CHI,Chicago Bulls,82,27,55,242.1,10.0,26.5,0.377,28.2,8.2,22.2,0.37,0.532
1610612739,CLE,Cleveland Cavaliers,82,50,32,240.6,10.1,25.8,0.391,29.0,8.8,22.7,0.389,0.562
1610612742,DAL,Dallas Mavericks,82,24,58,241.5,11.0,27.5,0.401,31.0,9.0,23.1,0.388,0.564
1610612743,DEN,Denver Nuggets,82,46,36,242.4,9.9,24.7,0.399,28.3,8.6,22.1,0.388,0.573
1610612765,DET,Detroit Pistons,82,39,43,241.5,10.0,25.6,0.392,28.9,8.8,22.5,0.391,0.564
1610612744,GSW,Golden State Warriors,82,58,24,240.6,11.7,26.5,0.439,31.2,7.9,19.4,0.405,0.587
1610612745,HOU,Houston Rockets,82,65,17,240.9,9.6,26.0,0.371,28.5,9.2,24.9,0.371,0.548
1610612754,IND,Indiana Pacers,82,48,34,240.9,9.8,24.8,0.396,26.4,6.8,17.8,0.379,0.533
1610612746,LAC,LA Clippers,82,42,40,240.3,6.8,18.5,0.37,19.5,5.9,16.4,0.358,0.529
1610612747,LAL,Los Angeles Lakers,82,35,47,242.7,9.1,25.0,0.363,26.1,7.9,21.8,0.364,0.521
1610612763,MEM,Memphis Grizzlies,82,22,60,240.3,9.6,25.2,0.381,26.0,6.8,18.8,0.363,0.516
1610612748,MIA,Miami Heat,82,44,38,243.0,10.7,28.8,0.372,30.7,9.2,24.6,0.375,0.532
1610612749,MIL,Milwaukee Bucks,82,44,38,241.8,8.5,22.1,0.382,24.0,7.0,18.9,0.373,0.541
1610612750,MIN,Minnesota Timberwolves,82,47,35,241.5,8.5,21.1,0.401,22.9,6.0,15.7,0.383,0.543
1610612740,NOP,New Orleans Pelicans,82,48,34,243.4,9.4,25.1,0.375,26.9,8.1,21.7,0.373,0.536
1610612752,NYK,New York Knicks,82,29,53,241.8,9.4,23.8,0.397,25.3,6.5,17.3,0.374,0.533
1610612760,OKC,Oklahoma City Thunder,82,48,34,241.8,9.4,24.8,0.378,26.9,8.2,22.0,0.372,0.543
1610612753,ORL,Orlando Magic,82,25,57,240.6,10.4,27.6,0.378,29.1,8.2,22.3,0.37,0.527
1610612755,PHI,Philadelphia 76ers,82,52,30,241.2,11.0,28.7,0.382,31.4,9.5,25.0,0.381,0.548
1610612756,PHX,Phoenix Suns,82,21,61,240.3,8.4,23.4,0.359,23.7,6.9,19.8,0.348,0.507
1610612757,POR,Portland Trail Blazers,82,49,33,240.9,8.4,21.7,0.386,23.3,6.6,17.5,0.375,0.537
1610612758,SAC,Sacramento Kings,82,27,55,240.9,9.0,22.3,0.402,24.4,6.5,16.6,0.393,0.548
1610612759,SAS,San Antonio Spurs,82,47,35,240.6,9.3,25.0,0.372,25.6,7.0,19.2,0.365,0.511
1610612761,TOR,Toronto Raptors,82,59,23,241.8,10.5,28.0,0.375,29.9,8.9,24.5,0.365,0.534
1610612762,UTA,Utah Jazz,82,48,34,240.9,9.1,23.5,0.386,26.0,7.8,20.1,0.387,0.552
1610612764,WAS,Washington Wizards,82,43,39,242.1,11.1,26.2,0.425,30.3,8.0,20.2,0.398,0.579
1610612737,ATL,Atlanta Hawks,82,43,39,242.4,9.8,26.2,0.373,26.7,7.2,20.3,0.356,0.51
1610612738,BOS,Boston Celtics,82,53,29,240.9,11.0,29.4,0.374,31.0,9.0,24.4,0.37,0.528
1610612751,BKN,Brooklyn Nets,82,20,62,240.9,9.6,26.5,0.364,27.6,8.3,23.6,0.351,0.52
1610612766,CHA,Charlotte Hornets,82,36,46,241.8,9.7,26.1,0.374,26.8,7.3,20.1,0.364,0.514
1610612741,CHI,Chicago Bulls,82,41,41,241.2,9.3,24.5,0.378,24.5,6.0,16.9,0.356,0.5
1610612739,CLE,Cleveland Cavaliers,82,51,31,242.4,10.8,27.4,0.395,31.4,9.8,24.6,0.399,0.574
1610612742,DAL,Dallas Mavericks,82,33,49,241.2,10.7,28.7,0.374,29.4,7.9,21.9,0.363,0.513
1610612743,DEN,Denver Nuggets,82,40,42,240.9,10.0,25.2,0.398,28.5,8.4,21.5,0.39,0.564
1610612765,DET,Detroit Pistons,82,37,45,241.5,8.4,22.9,0.367,22.9,6.1,17.8,0.343,0.5
